DEPTH,Porosity
10277.2,6
10278.3,6.8
10279.2,3.6
10280,6.3
10281,8.6
10282,8.6
10282.8,5.6
10283.8,8.6
10284.8,9.4
10285.7,8.5
10286.7,9.1
10287.8,9.6
10288.6,5.3
10289.5,8.4
10290.3,9.5
10290.8,9.7
10291.7,9.4
10292.7,9.1
10293.1,9.2
10294.1,9.3
10295.1,9.5
10295.8,8.8
10296.9,10.5
10297.8,9.2
10298.8,9.6
10299.8,9
10300.8,9.3
10301.6,10.2
10302.7,10.8
10303.6,9.3
10304.4,9.8
10305.4,6
10306.4,8.1
10307.2,10.2
10308.1,11
10309.2,10.9
10310,10.8
10311,10.4
10312,9.3
10312.8,10.5
10313.7,10.7
10314.8,10.5
10315.5,11.1
10316.6,9.4
10317.6,9.9
10318.5,10.2
10319.3,10.3
10320.3,10.1
10321.1,10.5
10322.2,10.9
10324.9,10.5
10325.9,10.4
10326.5,10.1
10327.4,8.6
10328.7,22.5
10329.4,9.6
10330.4,22.9
10331.4,22.5
10332.2,23.4
10333.2,24.8
10334.2,24.3
10334.7,25.7
10335.7,15.6
10336.5,21.1
10340.1,22.9
10341.1,24.8
10342,29.1
10342.7,27.4
10343.7,28.2
10344.6,25.8
10345.7,25.6
10346.7,26.4
10347.5,28
10348.5,24.7
10349.5,27.5
10350.4,27.1
10351.4,27.3
10352.4,25.4
10353,26.8
10354,25.2
10355,23.7
10356.1,25.5
10356.8,24
10357.6,26.1
10358.1,25.6
10362.2,23.2
10363.2,22.2
10364.1,20.4
10365,21.9
10366,23.4
10367.1,24.4
10367.5,24.6
10368.5,24.3
10369.6,23.4
10370.1,23.4
10371,24.6
10372,25.2
10373.4,26.5
10374.5,27.2
10375.1,27.1
10375.5,27.9
10376.6,25.9
10377.6,25.6
10378.5,25.4
10379.5,22.9
10380.5,27.2
10381.3,25
10382.3,28.9
10382.6,29.2
10383.3,30
10384.2,29.5
10385,27.3
10386.2,33.3
10387.2,29.4
10388.3,29.8
10389.3,30.3
10390.2,30.1
10391.5,29
10392.3,29.1
10392.9,27.8
10393.9,23.7
10394.9,28.1
10395.7,28.7
10396.7,28.6
10397.5,28.1
10398.4,28.6
10399.4,28.8
10400.4,30.3
10401.2,28.9
10402.8,29.5
10403.7,26.9
10404.7,29.1
10405.5,26.5
10422.2,24.8
10423.4,25
10424.4,26.2
10424.8,27.3
10425.7,29.2
10426.6,26.2
10427.8,24.8
10428.7,27.2
10429.8,21.8
10430.2,20.5
10482.2,28.7
10483.2,28
10484.5,28.4
10485.2,29.8
10486.2,28
10487.3,27.3
10488.2,28.5
10489.2,24.8
10489.8,29.7
10491.1,25.8
10492.1,28.7
10494.1,27.2
10495.1,27.6
10496,28.3
10497.1,27
10498.2,31.8
10499.4,27.6
10500.4,29.1
10501.3,31.4
10502.2,28.8
10502.8,30.9
10503.7,29.8
10504.6,30.4
10505.4,27.8
10506.4,27.9
10507.5,27.1
105098.6,25.2
10509.3,27.9
10510.6,19.3
10511,19.4
10512,16.8
10512.2,16.1
10513.1,12.6
10513.2,18.4
10514.2,18.9
10515.3,22.7
10516.2,19.8
10516.9,18.6
10517.5,15.3
10518.4,15
10519.5,16
10520.2,20.4
10521.2,22.6
10521.9,26.9
10522.9,24.1
10523.9,20.8
10524.9,18
10525.8,25.6
10526.6,23.1
10527.6,26.4
10528.4,24.5
10529.9,25
10530.6,19.8
10531.4,18.9
10532.3,16.2
10533.3,18.7
10534.3,20
10535.3,12.1
10536.3,13.4
10537.6,15.7
10538.4,17.8
10539.4,14.3
10539.9,24.4
10541,14.9
10541.9,15.1
10542.6,12.7
10543.5,15
10544.6,17.6
10945.3,15
10546.1,13.6
10547,8.2
10548.3,11.5
10549.5,20.5
10550.3,21.2
10551.3,15.4
10552.5,17.2
10553.4,14.1
10554.1,18.9
10555.1,21.1
10556.1,12.9
10556.8,16.4
10557.8,17.9
10559,16.1
10559.6,18
10560.6,19.4
10561.6,15
10562.9,17.6
10563.8,17.9
10564.7,17.5
10565.3,16.3
10566.3,20.5
10567.4,24.2
10568.5,21.6
10569.7,17.4
10570.9,24.3
10572.6,22.1
10573.6,19.8
10574.5,19.6
10575.2,20.6
10576.2,14.2
10577.2,18.1
10577.7,22.9
10578.8,17.6
10579.5,22.5
10580.2,16.2
10580.6,20.4
10581.6,19.6
10582.5,24.2
10583.5,26.3
10584.2,22
10585.2,23.7
10585.9,23.1
10586.8,26.5
10588.1,26
10589.1,24.3
10590.4,23.7
10591,26.6
10592,26.4
10593,26.3
10593.3,25.4
10594.1,28.4
10595.1,26.5
10596.1,23.4
10597.1,26.7
10598.2,26.9
10599.2,27.1
10600.1,27.1
10601.1,26.8
10602.2,27.4
10603.4,26.7
10604.2,28.3
10604.9,27.4
10606,27.2
10607.1,25.4
10608.1,24.9
10609,21.6
10610,23.5
10611.1,24.8
10612,26.1
10612.8,27.6
10613.6,26.1
10614.7,25.1
10615.6,26.2
10616.3,16.9
10617.5,26.3
10618.2,27.6
10618.9,27
10619.1,26.9
10620.2,27
10620.8,24.6
10621.9,25.9
10623,27.2
10623.9,26.8
10624.1,26.9
10625,27.5
10625.8,26.7
10626.3,23
10627.4,20.8
10628.3,26.5
10629.2,27.2
10630.3,27.4
10631.2,26.7
10632.2,23
10633.1,25.6
10634.2,21.6
10635.2,24.7
10636.1,23.5
10637.2,23.5
10638.1,22.8
10639.1,23.7
10640.2,23
10641.1,20.7
10642.3,19.2
10643.2,16.5
10643.7,27.1
10644.7,20.5
10645.7,25.7
10646.6,18.4
10647.6,27.9
10648.7,25.7
10649.6,23.6
10650.7,22
10651.7,21.3
10652.4,24.3
10653.3,26
10654.3,26.9
10655.3,25
10656.4,25.2
10657.4,25.5
10657.9,27.1
10658.9,29.6
10659.9,24.3
10660.9,25
10661.9,24.7
10662.5,23.7
10663.7,27.5
10664.7,21.4
10665.8,29.5
10666.5,26.4
10667.2,23.7
10668.4,24.4
10669.5,24.5
10670.2,23.5
10671.3,24.9
10671.9,26.5
10672.9,30.6
10674.4,21.3
10674.7,24
10675.7,20.2
10676.3,21
10677.5,21.6
10678.6,25.6
10679.5,25.2
10680.3,21
10681.4,27.3
10683.3,23.8
10684.2,27.1
10685.3,23.5
10686.1,21.7
10688.1,25.5
10688.9,19.5
10690,28.6
10690.9,26.5
10691.1,26.7
10691.2,22.8
10692.1,21.8
10693,24.2
10694.1,24.3
10695.1,27.4
10695.7,27.7
10696.7,26.2
10698,16.1
10698.7,24.8
10699.4,25
10700.9,19.7
10701.5,21.1
10702.1,24.7
10703.3,24.4
10704.3,25.6
10705.4,24.6
10706.4,26.4
10707.1,25.4
10708.1,25.7
10709.1,21.5
10709.9,25.5
10710.9,25.2
10711.9,25.9
10712.6,27.3
10713.6,28.6
10714.7,28.9
10715.3,28.6
10716.2,27.8
10717.2,27.5
10718.5,27.5
10719.3,29.2
10720.3,25.5
10721.1,27.5
10722,26.5
10723.1,25.7
10724.1,24.9
10724.9,26.9
10725.9,27
10727.1,24.1
10728.1,18.9
10729.1,24.9
10730,25.8
10731.2,27.5
10732,25.8
10732.7,28
10733.8,27
10734.8,27.7
10735.7,29
10736.8,28.5
10737.8,27.6
10738.8,27.6
10739.7,25.5
10740.7,26.9
10741.6,25.1
10742.4,24.9
10743.4,25.5
10744.5,26.3
10745.5,22.8
10746.8,24.9
10747.2,24.7
10748.2,18.6
10749.3,20
10750.1,21.8
10751.1,25.2
10752.1,23
10753,19.4
10754.5,24.5
10755.8,25.2
10756.7,21.9
10757.7,22.4
10758.6,26.1
10759.6,24.9
10760.7,20.1
10761.6,17.3
10762.6,22.7
10763.5,25.7
10764.3,23.3
10765.3,24.9
10766.3,27.5
10767,27.1
10768,26.6
10769,24
10770.1,23.8
10770.8,24.8
10772.1,27.3
10772.9,24.1
10774,24
10775,22.7
10775.7,26.3
10776.9,26.2
10778,24.9
10778.4,26.4
10779.4,25.6
10780.4,26.3
10781.5,27.4
10782.4,24.1
10783.4,27.3
10784.3,26
10784.9,26.8
10786.1,26.7
10787.1,27.8
10788.1,27.5
10789,26.5
10790,27.7
10791.4,27.8
10792.3,26.8
10793.3,28.1
10764.2,28.8
10795.2,23.1
10796.2,27.9
10797.2,28.1
10798.2,26.1
10799.2,24.6
10799.3,22.6
10800.3,25.7
10802.2,27.1
10803,19.4
10804.1,27.6
10805,27.1
10806.1,27.1
10807.1,24.1
10958.2,17.1
10959.2,18.1
10960.2,16.2
10960.8,13.5
10961.8,20.6
10962.3,22.1
10963.6,18.8
10964.6,18.9
10965.7,22.1
10966.5,22.6
10967.5,21.4
10968.5,20.8
10969.1,22.9
10970.2,17.9
10971.1,19.5
10972.1,21.7
10973.1,22.8
10974.1,21.2
10975.1,23.4
10976,17.4
10977.1,22.8
10977.7,22.5
10978.7,22.1
10979.8,16.4
10980.6,20.4
10981.6,22.7
10982.7,19.7
10983.6,20.6
10984.6,21.9
10985.5,18.1
10986.6,22.4
10987.6,16.1
10988.6,21.1
10989.5,19.5
10990.3,19
10991.3,21.1
10992.1,23
10993.2,18.3
10994,20.1
10994.9,21.4
10996,21.7
10997,22.6
10997.8,19.1
10998.9,23.6
10999.8,25.7
11000.7,23.9
11001.7,20.9
11002.7,22.5
11004,21.7
11004.7,20.8
11005.7,18
11006.4,18.3
11007.4,23.3
11008.5,19.6
11008.9,20.9
11009.9,18.3
11010,16
11011.6,16.1
11012.7,20.1
11013.9,21
11014.6,23.9
11015.6,20.1
11016.7,24.7
