Depth,Sw,So
10334.2,59,17
10342.7,54,14
10350.4,55,14
10357.6,55,13
10367.1,42,20
10373.4,46,23
10382.6,48,19
10391.5,53,18
10397.5,48,19
10401.2,51,20
10426.6,46,19
10484.5,44,21
10489.8,40,24
10500.4,45,18
10509.3,42,20
10515.3,39,23
10521.9,49,24
10529.9,50,25
10537.6,31,21
10546.1,21,21
10554.1,43,26
10562.9,26,19
10569.7,34,20
10572.6,43,26
10580.2,36,21
10586.8,46,23
10595.1,40,18
10603.4,51,22
10611.1,47,18
10618.9,47,22
10626.3,46,23
10635.2,45,24
10642.3,39,22
10649.6,54,25
10655.3,53,26
10662.5,45,27
10669.5,51,25
10676.3,50,23
10683.3,50,26
10694.1,50,19
10702.1,53,21
10709.1,47,23
10716.2,50,21
10724.1,43,20
10732,46,26
10738.8,50,19
10745.5,49,24
10754.5,52,20
10762.6,47,20
10770.1,41,24
10776.9,43,23
10784.9,45,20
10791.4,46,22
10799.2,52,25
10806.1,44,22
