Sample	Depth	ambient	50	100	200	300	400
43	10315.3	11.1	10.9	10.7	10.4	10.2	10.1
66	10336.5	21.1	21.0	20.8	20.6	20.5	20.5
99	10372.0	25.2	25.1	25.0	24.7	24.5	24.4
107	10379.5	22.9	22.8	22.6	22.4	22.3	22.2
137	10424.4	26.2	26.1	26.0	25.7	25.6	25.4
148	10485.2	29.8	29.7	29.6	29.2	28.9	28.7
175	10512.0	16.8	16.8	16.7	16.6	16.5	16.5
198	10531.4	18.9	18.8	18.7	18.6	18.5	18.5
244	10576.2	14.2	14.1	14.0	13.9	13.8	13.8
267	10596.1	23.4	23.3	23.2	23.0	22.9	22.8
288	10616.3	16.9	16.8	16.7	16.5	16.4	16.3
311	10636.1	23.5	23.4	23.3	23.2	23.0	22.9
335	10658.9	29.6	29.5	29.4	29.1	28.9	28.7
358	10680.3	21.0	20.9	20.8	20.6	20.4	20.3
381	10700.9	19.7	19.6	19.5	19.4	19.3	19.2
400	10718.5	27.5	27.4	27.3	27.1	27.0	26.8
426	10743.4	25.5	25.4	25.4	25.2	25.1	25.0
449	10766.3	27.5	27.4	27.3	27.1	26.9	26.8
468	10784.3	26.0	25.9	25.8	25.6	25.5	25.4
492	10958.2	17.1	17.0	16.9	16.8	16.7	16.7
512	10977.1	22.8	22.7	22.6	22.4	22.3	22.2
534	10997.8	19.1	19.0	18.9	18.8	18.7	18.6
549	11011.6	16.1	16.0	15.9	15.8	15.7	15.6
